name,url,hex,note
Baltic Breeze,https://inkswatch.com/ink.html?inkId=2690,#585474,
Potpourri,https://inkswatch.com/ink.html?inkId=2709,#805860,
Vibe,https://inkswatch.com/ink.html?inkId=2707,#274252,
Lullaby,https://inkswatch.com/ink.html?inkId=2702,#a16189,
Blue,https://inkswatch.com/ink.html?inkId=1218,#2a4a7a,
Atlas,https://inkswatch.com/ink.html?inkId=2304,#1cb282,
Ama-Iro,https://inkswatch.com/ink.html?inkId=544,#189bcb,
Asa-Gao,https://inkswatch.com/ink.html?inkId=659,#005ad2,
Rikka,https://inkswatch.com/ink.html?inkId=291,#f95839,
Pastel Pink Julia 1991,https://inkswatch.com/ink.html?inkId=508,#ae3e56,
Shocking Blue,https://inkswatch.com/ink.html?inkId=342,#4d5cb4,
Good Tidings,https://inkswatch.com/ink.html?inkId=2714,#303022,
Warfarer,https://inkswatch.com/ink.html?inkId=2346,#0c5459,
7 Colored Ocean,https://inkswatch.com/ink.html?inkId=2037,#6090b8,
Dewy Starlight,https://inkswatch.com/ink.html?inkId=2416,#383848,
A Watery Star,https://inkswatch.com/ink.html?inkId=534,#52727a,
Nadeshiko,https://inkswatch.com/ink.html?inkId=918,#4c6cb0,
Ajisai,https://inkswatch.com/ink.html?inkId=466,#4762c2,
Tsuki-Yo,https://inkswatch.com/ink.html?inkId=382,#3f7e9e,
Neutron Star Twinkle,https://inkswatch.com/ink.html?inkId=1086,#3a4f67,
Bonsai,https://inkswatch.com/ink.html?inkId=2812,#315433,
Quantum Teal,https://inkswatch.com/ink.html?inkId=2246,#23302c,
Sterling Silver,https://inkswatch.com/ink.html?inkId=1553,#74746c,
Aqueduct,https://inkswatch.com/ink.html?inkId=2384,#204840,
Dart Frog,https://inkswatch.com/ink.html?inkId=1339,#532931,
Suncatcher,https://inkswatch.com/ink.html?inkId=2816,#204474,
Tesla Coil,https://inkswatch.com/ink.html?inkId=2398,#101d6e,
Tiger Lily,https://inkswatch.com/ink.html?inkId=2840,#de472f,
